Country,%Annual_Growth_imports_goods_services,%Access_Electricity,%Land_Arable,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total).csv",CO2_Metric_tons_/capita,External_debt_stock_%GNI,Fertility_rate_births/woman,/Capita_GDP_Growth(annual),Govt_Expenditure_Education(%GDP),Adult_female_literacy_rate(15 + up),"Literacy rate, adult male (% of males ages 15 and above)",Net migration,Population growth (annual %),Renewable energy consumption (% of total final energy consumption),trade%gdp,Agricultural Land (%Land),"Agriculture, Forest,Fishing, Value Added (%) GDP)",Children in Employment (% Male),High-tech Exports ($),"Industry, Value Added (%GDP)",Population in Slums (% Urban Population),Rural population (% total Population),"School enrollment, primary and secondary (gross), gender parity index",Urban Population (% of total population),Gini
EC,1.632800079,100,3.929779353,12.33679297,2.495570554,49.54171107,2.427,0.573877117,4.998700142,92.08669281,93.77906036,182000,1.679213179,13.81668594,46.7399136,22.2096956,8.996839178,5.911136,68045527,32.26645453,20.10000038,6256951,1.021919966,63.986,45.4
EG,10.60963618,100,2.79950778,9.628460813,2.525862866,39.39966881,3.326,3.492042607,3.760829926,65.50569153,76.49521637,268179.1,1.976284348,5.709377265,43.26512974,3.750836325,11.0485607,4.8,323853847,35.62210783,5.199999809,57492249,1.000650048,42.73,31.5
SV,3.803518838,100,35.56949807,15.7989247,1.1278829,70.23112365,2.039,1.861864673,3.592420101,87.23413849,91.1023407,268179.1,0.509683302,24.40076999,77.17887668,76.44787645,5.080850724,10.94549,230626406,25.63180355,22.39999962,1758851,0.977670014,72.746,38.6
EE,3.728713129,100,16.0110421,3.582599329,12.60802104,51.53456,1.67,4.631335805,4.973380089,99.90947723,99.85897827,19555,0.348339662,27.47683347,141.8060266,23.07338394,2.49300424,21,1345110,22.03844875,33.338,410662,1.015769958,69.051,30.4
ET,18.46389681,44.97995758,15.119,44.65431528,0.143524928,29.67575593,4.247,5.604510971,4.737919807,44.42338181,59.24145889,150002,2.579563348,92.16346114,28.81530101,36.259,33.521072,32.5,9903646,24.82236751,64.30000305,88290020,0.921459973,21.225,35
FJ,7.017886,99.5933609,9.031198686,9.350539618,2.345470364,20.21619609,2.774,3.104794141,3.882889986,99.08583069,99.07843781,268179.1,0.729660242,31.26394709,103.4367329,23.26217843,11.84914876,21,61615525,15.58580363,11.19999981,384905,1.048570037,56.75,36.7
FI,3.267003604,100,7.390345826,1.42416707,8.34721998,51.53456,1.41,1.057789612,6.376210213,4.49542,87.8896,70000,0.086789963,43.23526259,80.0412378,7.485768813,2.311727831,21,4563213733,24.18605231,33.338,803615,1.057899952,85.446,27.4
FR,2.538190509,100,33.52330476,6.368028036,4.573459729,51.53456,1.88,1.366344012,5.451600075,4.49542,87.8896,182636,0.140234218,13.49926232,64.52272903,52.44754417,1.597141948,21,1.21E+11,17.13520341,33.338,12935745,1.000519991,80.709,31.6
GA,20.45615198,93.03568268,1.261303217,46.27022173,2.649976866,46.37317314,3.969,1.39466775,2.666670084,83.42397308,85.85234833,16301,2.484089207,82.00784369,72.24979736,20.02561416,5.554416266,25.6,16399628226,47.20818078,36.59999847,222885,0.984406,89.741,38
GM,3.078575783,60.3,43.47826087,52.1731292,0.247408381,39.97467313,5.219,3.002779601,2.420300007,41.57701874,61.76725006,1517,2.921850237,51.50886249,55.53869244,59.7826087,21.79719527,26.19,402,15.79299368,27.10000038,893748,1.001129985,61.931,35.9
